FROM_BRANCH,LORRY_ROUTE_FROM,FROM_LAT,FROM_LONG,TO_BRANCH,LORRY_ROUTE_TO,TO_LAT,TO_LONG,COUNT(*)
GREATER NOIDA-UTTAR PRADESH,1312,28.448128,77.530355,GREATER NOIDA-UTTAR PRADESH,1370,28.5315089,77.4687343,1
INDORE-MADHYA PRADESH,3501,22.8366327,75.9450594,INDORE-MADHYA PRADESH,1001,12.8975285,79.883473,3
DANKUNI KOLKATA-WEST BANGAL,814,22.7361595,88.2732544,DANKUNI KOLKATA-WEST BANGAL,1901,30.8772,75.9122,1
AURANGABAD WALUJ-MAHARASTRA,201,19.8087351,75.2382142,AURANGABAD WALUJ-MAHARASTRA,319,22.9731286,72.2752609,1
GREATER NOIDA-UTTAR PRADESH,1312,28.448128,77.530355,GREATER NOIDA-UTTAR PRADESH,4101,20.3096,85.8602,1
HARIDWAR-UTTRAKHAND,2205,29.9652,78.076,HARIDWAR-UTTRAKHAND,2203,28.9404926,77.6713666,1
FARIDABAD-HARYANA,1308,28.4509963,77.3193081,FARIDABAD-HARYANA,1007,12.7853427,80.0395548,1
KUNDLI BORDER SONIPAT-HARYANA,1309,28.862816,77.123806,KUNDLI BORDER SONIPAT-HARYANA,1903,31.4966,75.8345,1
JEEDIMETLA HYD-TELANGANA,1610,17.5311,78.4557,JEEDIMETLA HYD-TELANGANA,901,11.0746,77.1115,2
DASNA AIRTEL GSM (UP WEST),6074,28.696324,77.598355,DASNA AIRTEL GSM (UP WEST),1306,28.677483,77.1419,1
MITROL PALWAL-HARYANA,1344,28.0463739,77.3416418,MITROL PALWAL-HARYANA,1110,30.6596,76.8172,25
INDORE APT,3516,22.7264879,75.8191623,INDORE APT,501,13.1464,77.6144,4
AMBALA HUB-HARYANA,103,30.23361,76.85074,AMBALA HUB-HARYANA,814,22.7361595,88.2732544,10
OM LOGISTICS LTD-LOHAMANDI,3520,22.7055654,75.8665637,OM LOGISTICS LTD-LOHAMANDI,3501,22.8366327,75.9450594,2
MUMBAI HUB-MAHARASTRA,2117,19.2924351,73.1082178,MUMBAI HUB-MAHARASTRA,1016,14.4022,79.9531,1
ZAHEERABAD-TELANGANA,1607,17.7008,77.5459,ZAHEERABAD-TELANGANA,1601,17.6103329,78.5213145,2
SILIGURI-WEST BANGAL,811,26.6561622,88.4594269,SILIGURI-WEST BANGAL,821,23.8415917,91.3116745,1
NEEMRANA-RAJASTHAN,1711,27.9562864,76.3639911,NEEMRANA-RAJASTHAN,1016,14.4022,79.9531,1
SHOLAVARAM CHENNAI,1003,13.2316,80.1633,SHOLAVARAM CHENNAI,2001,9.9880077,78.0989829,3
BILASPUR AIRTEL GSM-HIMACHAL PRADESH,6031,31.357482,76.747485,BILASPUR AIRTEL GSM-HIMACHAL PRADESH,1302,29.3667538,76.9730918,1
CHENNAI SVCHATRAM-TAMILNADU,1001,12.8975285,79.883473,CHENNAI SVCHATRAM-TAMILNADU,2809,18.1683915,73.9536662,1
BERHAMPUR-ORISSA,4109,19.2715,84.7784,BERHAMPUR-ORISSA,4101,20.3096,85.8602,1
GWALIOR-MADHYA PRADESH,3503,26.3392,78.2826,GWALIOR-MADHYA PRADESH,2802,18.7004018,73.8489416,1
PONTA SAHIB-HIMACHAL PRADESH,106,30.442379,77.602674,PONTA SAHIB-HIMACHAL PRADESH,4001,30.28199,77.98948,1
OKHLA-DELHI,1301,28.5283,77.2786,OKHLA-DELHI,5520,25.2512,84.6253,1
BANGALORE AREA OFFICE,530,13.085086,77.415465,BANGALORE AREA OFFICE,3002,10.8127191,78.7209493,1
DHARWAD-KARNATAKA,523,15.5081624,74.9123756,DHARWAD-KARNATAKA,513,15.2976,76.3196,1
BARODA WAGHODIA-GUJARAT,604,22.4099966,73.2954696,BARODA WAGHODIA-GUJARAT,3502,23.1662722,77.5090901,1
CHAKAN - PUNE - MAHARASTRA,2802,18.7004018,73.8489416,CHAKAN - PUNE - MAHARASTRA,1306,28.677483,77.1419,2
VASHI MUMBAI-MAHARASTRA,2107,19.0791,73.0114,VASHI MUMBAI-MAHARASTRA,2901,28.8988,76.5487,2
KESHWANA RAJASTHAN,1721,27.8091,76.2424,KESHWANA RAJASTHAN,1305,28.5182141,77.0820394,1
PUNE MAVAL-MAHARASTRA,2833,18.751795,73.606048,PUNE MAVAL-MAHARASTRA,2856,18.737321,73.797702,3
BADDI-HIMACHAL PRADESH,1103,30.9570241,76.8249571,BADDI-HIMACHAL PRADESH,103,30.23361,76.85074,2527
PALAM AIRPORT-DELHI,1303,28.5323,77.1102,PALAM AIRPORT-DELHI,2108,19.0973,72.8456,69
KANPUR-UTTAR PRADESH,1602,26.4478,80.2487,KANPUR-UTTAR PRADESH,809,22.5614951,88.1767703,2
MUMBAI HUB-MAHARASTRA,2117,19.2924351,73.1082178,MUMBAI HUB-MAHARASTRA,2601,22.6272376,75.581131,186
MUMBAI HUB-MAHARASTRA,2117,19.2924351,73.1082178,MUMBAI HUB-MAHARASTRA,301,22.8584141,72.3796371,107
NASIK MANMAD-MAHARASTRA,204,20.264516,74.4440964,NASIK MANMAD-MAHARASTRA,2401,20.0052,73.7379,5
AURANGABAD WALUJ-MAHARASTRA,201,19.8087351,75.2382142,AURANGABAD WALUJ-MAHARASTRA,1701,26.865057,75.680062,79
KESHWANA RAJASTHAN,1721,27.8091,76.2424,KESHWANA RAJASTHAN,3001,11.6017,78.0921,62
